Name,Code,Is_ETF,Trade_Amt(100M),Prev_Close,Open,High,Low,Close,Gap_Rate(%),High_Rate(%),Close_Rate(%),Wick_Ratio(%)
KODEX 코스닥150레버,233740,O,24491,13300,15550,18585,15100,16725,16.92,39.73,25.75,53.37
KODEX 코스닥150,229200,O,18656,17060,18540,20840,18455,19575,8.67,22.15,14.74,53.04
TIGER 반도체TOP10,396500,O,17997,29109,33100,34710,32800,34140,13.71,19.24,17.28,29.84
LIG넥스원,079550,X,15391,619016,648000,792000,620000,763000,4.68,27.94,23.26,16.86
한화에어로스페이스,012450,X,10819,1323050,1361000,1486000,1322000,1381000,2.87,12.32,4.38,64.02
KODEX 반도체,091160,O,10384,84903,97270,103345,96610,100585,14.57,21.72,18.47,40.98
한미반도체,042700,X,9733,259003,302000,323000,301000,315000,16.6,24.71,21.62,36.36
에코프로,086520,X,6949,133799,153500,168800,152000,160800,14.72,26.16,20.18,47.62
미래에셋증권,006800,X,4627,56499,65100,69000,64200,65200,15.22,22.13,15.4,79.17
TIGER K방산&우주,463250,O,4109,41899,45100,50330,44520,49290,7.64,20.12,17.64,17.9
삼성SDI,006400,X,3959,351010,391000,407000,385000,392500,11.39,15.95,11.82,65.91
PLUS K방산,449450,X,3898,66429,70920,78475,70655,76400,6.76,18.13,15.01,26.53
삼천당제약,000250,X,3516,645004,730000,838000,712000,796000,13.18,29.92,23.41,33.33
레인보우로보틱스,277810,X,3197,704012,787000,888000,776000,837000,11.79,26.13,18.89,45.54
TIGER 코스닥150,232080,O,3150,17420,19040,21140,18900,19945,9.3,21.35,14.49,53.35
현대로템,064350,X,3144,202006,217500,231750,213000,225500,7.67,14.72,11.63,33.33
리노공업,058470,X,3137,100897,113700,127500,109800,121400,12.69,26.37,20.32,34.46
KODEX 방산TOP10,0080G0,O,2989,12649,13520,14950,13340,14575,6.88,18.18,15.22,23.29
주성엔지니어링,036930,X,2905,53801,57000,69900,56800,66800,5.94,29.92,24.16,23.66
한화오션,042660,X,2759,108504,121200,124700,118500,122100,11.7,14.93,12.53,41.94
SK이노베이션,096770,X,2549,108995,115700,131400,114100,126500,6.15,20.56,16.06,28.32
한국항공우주,047810,X,2449,158505,170200,184800,169900,179000,7.38,16.59,12.93,38.93
에코프로비엠,247540,X,2407,165593,183000,206000,183000,195400,10.51,24.4,18.0,46.09
알테오젠,196170,X,2385,331994,358500,389000,355500,372000,7.98,17.17,12.05,50.75
HPSP,403870,X,2340,37948,42200,46950,41400,44950,11.2,23.72,18.45,36.04
제주반도체,080220,X,2308,36849,42150,46100,40900,44750,14.38,25.1,21.44,25.96
KODEX AI반도체,395160,O,2263,23750,27095,28590,26785,28130,14.08,20.38,18.44,25.48
SOL AI반도체소부장,455850,O,2245,22830,25580,28250,25255,27670,12.05,23.74,21.2,19.37
KODEX 2차전지산업레,462330,O,2169,1377,1679,1757,1618,1696,21.85,27.51,23.08,43.88
이수페타시스,007660,X,2139,98803,109100,119300,108400,115600,10.42,20.74,17.0,33.94
휴림로봇,090710,X,2111,10410,12000,13400,11600,12990,15.27,28.72,24.78,22.78
KODEX 2차전지산업,305720,O,2102,15035,16315,17130,16305,16725,8.51,13.93,11.24,49.09
KODEX 증권,102970,O,2093,23004,25895,26965,25710,26375,12.56,17.21,14.65,47.01
HANARO Fn K-반도체,395270,O,2071,29889,33575,35065,33510,34525,12.33,17.32,15.51,34.73
삼성중공업,010140,X,2020,23500,27000,27600,25850,27200,14.89,17.44,15.74,22.86
원익IPS,240810,X,1921,107504,121200,138500,119800,132800,12.74,28.83,23.53,30.48
파두,440110,X,1741,54501,59100,67700,58300,66100,8.44,24.22,21.28,17.02
에이비엘바이오,298380,X,1587,152896,167800,188000,166400,177100,9.75,22.96,15.83,50.46
풍산,103140,X,1564,112099,115800,122100,109100,118400,3.3,8.92,5.62,28.46
서진시스템,178320,X,1563,37399,41650,47650,41550,46450,11.37,27.41,24.2,19.67
ACE AI반도체TOP3+,469150,X,1561,40434,46335,48130,45735,47240,14.59,19.03,16.83,37.16
팬오션,028670,X,1554,5150,5270,6130,4810,5660,2.33,19.03,9.9,35.61
한화솔루션,009830,X,1510,39949,43800,45550,42950,44400,9.64,14.02,11.14,44.23
